total,intExpID,type,column,total_users,user_no,intSeg,intArr,intDel,intSta,intRep,intDelRate,intActRate,intByteSize,floatBuf,algorithm_used,seg_Dur,width,height,resolutions,play_Pos,RTT,Clae,Duanmu,Yin,Yu,P1203,rtt_qos,tp_qos,p_qos
74,102,driving,1,3,2,14,35493,2455,1390,4375,2244,2754,688741,2000,exponential,2000,1920,1080,1920x1080,26000,30.754,1.489,69.352,36076.056,-17.717,2.531,22.188,289826.7595,239
75,102,driving,1,3,2,15,38931,2280,1438,4375,2454,2797,699451,2000,exponential,2000,1920,1080,1920x1080,28000,69.842,1.571,69.342,39815.075,-17.619,2.44,32.186,325630.5982,243
76,102,driving,1,3,2,16,41399,1277,467,1801,2701,1725,431270,2000,exponential,2000,736,414,736x414,30000,36.562,1.549,67.002,36273.724,-17.796,2.322,19.61,370114.347,150
77,102,driving,1,3,2,17,44160,1552,760,2422,3524,2735,683798,2000,exponential,2000,1280,720,1280x720,32000,58.137,1.6,65.494,36041.058,-18.031,2.29,19.127,469639.4941,221
78,102,driving,1,3,2,18,47828,2561,1667,2422,2230,2856,714153,2000,exponential,2000,1280,720,1280x720,34000,23.815,1.647,67.315,42063.425,-17.769,2.213,22.021,284690.3271,248
79,102,driving,1,3,2,19,51569,2574,1741,2422,2350,3024,756120,2000,exponential,2000,1280,720,1280x720,36000,61.443,1.69,68.591,47428.792,-17.699,2.174,23.683,304476.4715,263
80,102,driving,1,3,2,20,55021,2251,1451,2422,2569,2891,722967,2000,exponential,2000,1280,720,1280x720,38000,54.989,1.729,67.951,49203.159,-17.732,2.134,14.185,334194.7099,251
81,102,driving,1,3,2,21,56839,654,0,1801,6743,2205,551309,2182,exponential,2000,736,414,736x414,40000,26.776,1.711,64.995,45160.46,-18.109,2.12,6.524,910586.1259,117
82,102,driving,1,3,2,22,60240,2371,1219,3091,3939,4670,1167586,2000,exponential,2000,1280,720,1280x720,42000,46.029,1.775,64.783,46265.794,-18.234,2.087,20.789,513473.1691,305
83,102,driving,1,3,2,23,64263,2822,2023,3918,3651,5152,1288032,2000,exponential,2000,1920,1080,1920x1080,44000,28.633,1.831,67.721,55426.7,-17.712,2.046,20.096,467298.5067,399
84,102,driving,1,3,2,24,68282,2753,2018,4375,4500,6194,1548563,2000,exponential,2000,1920,1080,1920x1080,46000,60.756,1.87,69.017,61742.121,-17.59,2.025,20.305,585504.7053,383
